,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Schweiz,8658685,8715702,8772405,8828459,8883708,8937899,8990980,9042737,9093134,9142022,9189377,9233184,9273323,9309802,9342609,9371712,9397208,9419019,9437326,9452077,9463496,9473520,9482381,9490106,9496793,9502456,9507185,9510945,9513848,9515847,9516929
Zürich,1548510,1562279,1576014,1589669,1603219,1616644,1629933,1643063,1656029,1668804,1681407,1693374,1704708,1715373,1725386,1734717,1743392,1751390,1758714,1765351,1771359,1777136,1782761,1788193,1793477,1798605,1803590,1808407,1813095,1817624,1821985
Bern,1044454,1049229,1053987,1058677,1063283,1067741,1072048,1076179,1080113,1083838,1087339,1090287,1092689,1094535,1095824,1096566,1096785,1096468,1095673,1094376,1092613,1090693,1088641,1086474,1084216,1081858,1079412,1076891,1074279,1071594,1068819
Luzern,415027,417786,420542,423274,425971,428631,431231,433752,436202,438564,440845,442926,444807,446490,447956,449206,450247,451074,451709,452126,452357,452492,452564,452546,452472,452320,452107,451824,451500,451109,450677
Uri,36793,36985,37181,37376,37565,37754,37937,38121,38290,38456,38611,38743,38834,38902,38935,38947,38928,38878,38800,38697,38573,38441,38311,38170,38024,37878,37720,37569,37415,37259,37110
Schwyz,162052,163479,164895,166294,167662,168991,170304,171575,172817,174007,175161,176206,177147,177974,178691,179301,179804,180196,180484,180670,180746,180792,180804,180788,180736,180658,180540,180409,180256,180071,179857
Obwalden,38154,38310,38456,38597,38739,38865,38984,39099,39198,39289,39370,39445,39505,39564,39625,39667,39706,39739,39770,39797,39818,39830,39833,39835,39826,39817,39802,39778,39754,39729,39694
Nidwalden,43623,43818,44013,44201,44374,44538,44691,44827,44951,45060,45156,45233,45289,45320,45337,45341,45325,45297,45261,45212,45150,45084,45009,44930,44852,44768,44681,44592,44500,44410,44314
Glarus,40488,40544,40603,40656,40710,40757,40799,40841,40884,40903,40924,40927,40912,40877,40825,40747,40653,40544,40415,40269,40105,39938,39766,39594,39417,39235,39056,38871,38690,38503,38313
Zug,129601,130952,132298,133624,134927,136194,137434,138643,139824,140969,142082,143127,144100,145005,145836,146601,147302,147930,148486,148974,149413,149829,150228,150608,150961,151299,151614,151907,152187,152437,152663
Freiburg,323878,326421,328922,331381,333776,336101,338358,340526,342620,344616,346529,348334,350026,351600,353057,354408,355652,356789,357821,358754,359591,360372,361088,361749,362364,362936,363460,363933,364367,364774,365140
Solothurn,277356,279490,281634,283770,285889,287986,290047,292070,294044,295962,297840,299528,301024,302329,303454,304380,305127,305678,306048,306242,306261,306232,306163,306048,305902,305727,305523,305274,304998,304688,304350
Basel-Stadt,196075,196789,197526,198276,199045,199814,200588,201362,202124,202884,203631,204274,204806,205223,205521,205688,205734,205652,205440,205103,204634,204119,203581,203016,202423,201800,201153,200489,199806,199107,198396
Basel-Landschaft,290513,291654,292748,293801,294790,295738,296635,297468,298260,298992,299676,300251,300728,301120,301402,301602,301697,301694,301609,301430,301164,300853,300523,300158,299767,299343,298906,298443,297954,297442,296909
Schaffhausen,83162,83763,84361,84948,85538,86100,86665,87207,87733,88257,88760,89249,89717,90160,90591,90995,91386,91757,92114,92453,92782,93107,93410,93722,94015,94292,94562,94828,95088,95344,95589
Appenzell A.Rh.,55520,55697,55883,56074,56268,56462,56655,56836,57016,57191,57360,57511,57656,57796,57917,58040,58149,58251,58344,58423,58497,58574,58642,58697,58757,58810,58862,58919,58971,59025,59079
Appenzell I.Rh.,16216,16258,16301,16349,16399,16449,16496,16550,16599,16645,16693,16742,16794,16845,16897,16951,17004,17059,17112,17168,17223,17274,17323,17380,17438,17493,17553,17606,17660,17717,17767
St. Gallen,515303,519081,522835,526540,530185,533753,537236,540627,543904,547074,550119,553047,555853,558522,561069,563482,565789,567970,570037,572011,573892,575697,577436,579117,580737,582305,583819,585285,586702,588078,589409
Graubünden,197925,197678,197413,197113,196778,196388,195954,195474,194934,194338,193689,192973,192199,191365,190473,189525,188521,187455,186340,185190,183984,182745,181481,180187,178866,177522,176161,174779,173385,171978,170571
Aargau,692772,699977,707147,714223,721198,728084,734847,741492,747999,754368,760577,766403,771814,776809,781394,785574,789348,792708,795661,798221,800392,802421,804314,806080,807724,809262,810687,811991,813187,814289,815300
Thurgau,282346,285269,288160,291015,293817,296568,299229,301830,304345,306774,309106,311269,313258,315075,316724,318209,319528,320677,321682,322515,323199,323808,324349,324830,325247,325601,325907,326160,326361,326518,326637
Tessin,351990,351230,350406,349518,348563,347551,346483,345351,344166,342911,341605,340218,338746,337212,335603,333935,332200,330411,328575,326675,324733,322761,320768,318742,316698,314627,312523,310381,308219,306012,303747
Waadt,813845,821254,828680,836109,843525,850900,858253,865542,872779,879950,887045,893801,900185,906198,911851,917104,921980,926452,930532,934209,937511,940683,943741,946703,949567,952337,955008,957585,960072,962476,964785
Wallis,348113,350124,352074,353947,355755,357475,359115,360652,362105,363464,364728,365858,366847,367706,368413,368991,369444,369770,369975,370061,370043,369954,369812,369632,369399,369114,368796,368442,368045,367600,367108
Neuenburg,175869,175382,174896,174408,173912,173390,172843,172286,171714,171131,170514,169872,169205,168511,167798,167054,166269,165469,164642,163787,162905,161997,161064,160101,159119,158120,157102,156072,155020,153946,152852
Genf,505691,508820,511954,515090,518226,521367,524489,527575,530633,533670,536656,539604,542480,545303,548062,550750,553366,555912,558375,560763,563076,565348,567569,569750,571885,573982,576055,578081,580077,582028,583944
Jura,73409,73433,73476,73529,73594,73658,73726,73789,73851,73905,73954,73982,73994,73988,73968,73931,73872,73799,73707,73600,73475,73340,73200,73056,72904,72747,72586,72429,72260,72089,71914
